user_jellyfin_config | user_id | uuid | nullable=NO | default=-
user_jellyfin_config | server_url | text | nullable=NO | default=-
user_jellyfin_config | api_key | text | nullable=NO | default=-
user_jellyfin_config | jellyfin_user_id | text | nullable=NO | default=-
user_jellyfin_config | sync_enabled | boolean | nullable=NO | default=true
user_jellyfin_config | webhook_secret | text | nullable=NO | default=(gen_random_uuid())::text
user_jellyfin_config | created_at | timestamp with time zone | nullable=NO | default=now()
user_jellyfin_config | updated_at | timestamp with time zone | nullable=NO | default=now()
user_jellyfin_config | jellyfin_username | text | nullable=YES | default=-
users | id | uuid | nullable=NO | default=-
users | created_at | timestamp with time zone | nullable=NO | default=now()
users | username | text | nullable=YES | default=-
users | name | text | nullable=YES | default=-
users | email | text | nullable=YES | default=-
users | image_url | text | nullable=YES | default=-
users | tmdb_id | text | nullable=YES | default=-
users | bio | text | nullable=YES | default='Go to settings to change your Bio'::text
users | backdrop_url | text | nullable=YES | default='https://w0.peakpx.com/wallpaper/939/963/HD-wallpaper-technology-error-404-not-found-black-white-minimalist.jpg'::text
users | feed_genres | ARRAY | nullable=YES | default=-
users | premium | boolean | nullable=NO | default=false
watch_history | id | uuid | nullable=NO | default=uuid_generate_v4()
watch_history | user_id | uuid | nullable=NO | default=-
watch_history | media_type | text | nullable=NO | default=-
watch_history | media_id | integer | nullable=NO | default=-
watch_history | season_number | integer | nullable=YES | default=-
watch_history | episode_number | integer | nullable=YES | default=-
watch_history | created_at | timestamp with time zone | nullable=YES | default=now()
watch_history | time_spent | integer | nullable=YES | default=-
watch_history | percentage_watched | text | nullable=YES | default=-
watch_history | hidden_until | timestamp with time zone | nullable=YES | default=-
watch_history | sync_source | text | nullable=NO | default='app'::text
watch_history | playback_position | integer | nullable=YES | default=-
watch_list | id | uuid | nullable=NO | default=gen_random_uuid()
watch_list | created_at | timestamp with time zone | nullable=NO | default=now()
watch_list | user_id | uuid | nullable=YES | default=-
watch_list | media_type | text | nullable=YES | default=-
watch_list | media_id | bigint | nullable=YES | default=-
watch_list | watch_list_type | text | nullable=YES | default=-
